ID,TableIndex,Season,League Rank,Squad,NumPlayers,Avg_Age,Avg_Poss,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Annual Wages,League,gf2,ga2,gfga,Available_Points,Pythagorean_%,Predicted_Points,Difference
226,37,2018-2019,20,Rayo Vallecano,84,26.6,48.7,38,8,8,22,41,70,-29,32,0.84,48.7,60,-11.3,-0.3,11928,21182237,La Liga,1681,4900,6581,114,0.255432305,29.11928278,2.880717216
227,38,2019-2020,1,Real Madrid,79,27.6,58.8,38,26,9,3,70,25,45,87,2.29,67.9,33.3,34.6,0.91,45833,363007586,La Liga,4900,625,5525,114,0.886877828,101.1040724,-14.1040724
228,39,2019-2020,2,Barcelona,69,27.8,66.4,38,25,7,6,86,38,48,82,2.16,66.3,38.3,28,0.74,54223,351440667,La Liga,7396,1444,8840,114,0.836651584,95.37828054,-13.37828054
229,40,2019-2020,3,Atlético Madrid,68,26.1,48.6,38,18,16,4,51,27,24,70,1.84,56.8,32.5,24.4,0.64,42236,168662987,La Liga,2601,729,3330,114,0.781081081,89.04324324,-19.04324324
230,41,2019-2020,4,Sevilla,74,27.7,57.9,38,19,13,6,54,34,20,70,1.84,53.2,36.1,17.1,0.45,25016,66762006,La Liga,2916,1156,4072,114,0.71611002,81.63654224,-11.63654224
231,42,2019-2020,5,Villarreal,78,27.6,52.9,38,18,6,14,63,49,14,60,1.58,63.6,46.3,17.3,0.45,11321,60525042,La Liga,3969,2401,6370,114,0.623076923,71.03076923,-11.03076923
232,43,2019-2020,6,Real Sociedad,73,24.8,56.2,38,16,8,14,56,48,8,56,1.47,48.9,43,5.8,0.15,21204,39837075,La Liga,3136,2304,5440,114,0.576470588,65.71764706,-9.717647059
233,44,2019-2020,7,Granada,70,26.8,43.8,38,16,8,14,52,45,7,56,1.47,44.9,42.6,2.3,0.06,11174,22349118,La Liga,2704,2025,4729,114,0.571791076,65.1841827,-9.184182702
234,45,2019-2020,8,Getafe,79,27.5,45,38,14,12,12,43,37,6,54,1.42,41.6,41.4,0.2,0,8000,26965696,La Liga,1849,1369,3218,114,0.574580485,65.50217526,-11.50217526
235,46,2019-2020,9,Valencia,74,27,49,38,14,11,13,46,53,-7,53,1.39,43.3,56,-12.7,-0.33,29658,76779876,La Liga,2116,2809,4925,114,0.42964467,48.97949239,4.020507614
236,47,2019-2020,10,Osasuna,79,27.7,47.4,38,13,13,12,46,54,-8,52,1.37,49.4,49.4,0.1,0,11453,14451004,La Liga,2116,2916,5032,114,0.420508744,47.93799682,4.06200318
237,48,2019-2020,11,Athletic Club,76,26.7,48.7,38,13,12,13,41,38,3,51,1.34,41.5,48.8,-7.3,-0.19,28039,49253671,La Liga,1681,1444,3125,114,0.53792,61.32288,-10.32288
