Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Sadio Mané,Liverpool,29,28,"2,190",24.3,10,0.41,2017-2018,EPL
Eliaquim Mangala,Manchester City,9,4,488,5.4,0,0.00,2017-2018,EPL
Eliaquim Mangala,Everton,2,2,134,1.5,0,0.00,2017-2018,EPL
Javier Manquillo,Newcastle Utd,21,20,"1,758",19.5,0,0.00,2017-2018,EPL
Solly March,Brighton,36,18,"1,851",20.6,1,0.05,2017-2018,EPL
,,,,,,,,2017-2018,EPL
Adrian Mariappa,Watford,28,24,"2,210",24.6,0,0.00,2017-2018,EPL
João Mário,West Ham,13,12,"1,022",11.4,2,0.18,2017-2018,EPL
Anthony Martial,Manchester Utd,30,18,"1,582",17.6,9,0.51,2017-2018,EPL
Cuco Martina,Everton,21,20,"1,830",20.3,0,0.00,2017-2018,EPL
Bruno Martins Indi,Stoke City,17,14,"1,243",13.8,0,0.00,2017-2018,EPL
Arthur Masuaku,West Ham,27,21,"1,870",20.8,0,0.00,2017-2018,EPL
Juan Mata,Manchester Utd,28,23,"1,922",21.4,3,0.14,2017-2018,EPL
Nemanja Matić,Manchester Utd,36,35,"3,118",34.6,1,0.03,2017-2018,EPL
Joël Matip,Liverpool,25,22,"1,997",22.2,1,0.05,2017-2018,EPL
Konstantinos Mavropanos,Arsenal,3,3,195,2.2,0,0.00,2017-2018,EPL
Alfie Mawson,Swansea City,38,38,"3,420",38.0,2,0.05,2017-2018,EPL
Eric Maxim Choupo-Moting,Stoke City,30,26,"2,314",25.7,5,0.19,2017-2018,EPL
Chancel Mbemba,Newcastle Utd,9,7,672,7.5,0,0.00,2017-2018,EPL
James McArthur,Crystal Palace,33,27,"2,431",27.0,5,0.19,2017-2018,EPL
Gareth McAuley,West Brom,9,5,458,5.1,0,0.00,2017-2018,EPL
Oliver McBurnie,Swansea City,11,2,276,3.1,0,0.00,2017-2018,EPL
Alex McCarthy,Southampton,18,18,"1,620",18.0,0,0.00,2017-2018,EPL
James McCarthy,Everton,4,3,205,2.3,0,0.00,2017-2018,EPL
