Player,Squad,MP,Starts,Min,90s,Goals,Seasons,League
Adam Lallana,eng Liverpool,2,1,149,1.7,0,2017-2018,UEFA
Érik Lamela,eng Tottenham,2,1,105,1.2,0,2017-2018,UEFA
Michael Lang,ch Basel,8,8,720,8.0,3,2017-2018,UEFA
Aymeric Laporte,eng Manchester City,3,3,270,3.0,0,2017-2018,UEFA
Sam Larsson,nl Feyenoord,6,1,157,1.7,0,2017-2018,UEFA
Miguel Layún,pt Porto,2,1,109,1.2,1,2017-2018,UEFA
Thomas Lemar,fr Monaco,3,3,179,2.0,0,2017-2018,UEFA
Clément Lenglet,es Sevilla,9,9,810,9.0,1,2017-2018,UEFA
Jeremain Lens,tr Be?ikta?,2,2,150,1.7,0,2017-2018,UEFA
Robert Lewandowski,de Bayern Munich,11,11,955,10.6,5,2017-2018,UEFA
Stephan Lichtsteiner,it Juventus,2,0,102,1.1,0,2017-2018,UEFA
Victor Lindelöf,eng Manchester Utd,5,5,450,5.0,0,2017-2018,UEFA
Jesse Lingard,eng Manchester Utd,6,3,244,2.7,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Fernando Llorente,eng Tottenham,7,2,225,2.5,1,2017-2018,UEFA
Marcos Llorente,es Real Madrid,1,0,21,0.2,0,2017-2018,UEFA
Hugo Lloris,eng Tottenham,7,7,630,7.0,0,2017-2018,UEFA
Giovani Lo Celso,fr Paris S-G,7,1,150,1.7,0,2017-2018,UEFA
Rony Lopes,fr Monaco,5,3,301,3.3,1,2017-2018,UEFA
Lisandro López,pt Benfica,2,2,179,2.0,0,2017-2018,UEFA
Vágner Love,tr Be?ikta?,2,2,132,1.5,1,2017-2018,UEFA
Dejan Lovren,eng Liverpool,12,12,"1,050",11.7,0,2017-2018,UEFA
Filipe Luís,es Atlético Madrid,6,6,540,6.0,0,2017-2018,UEFA
Zé Luís,ru Spartak Moscow,3,2,159,1.8,2,2017-2018,UEFA
Luisão,pt Benfica,4,4,360,4.0,0,2017-2018,UEFA
David Luiz,eng Chelsea,4,4,327,3.6,1,2017-2018,UEFA
Romelu Lukaku,eng Manchester Utd,8,8,704,7.8,5,2017-2018,UEFA
Mikael Lustig,sct Celtic,6,6,463,5.1,0,2017-2018,UEFA
Mahir Madatov,az Qaraba? FK,5,4,322,3.6,0,2017-2018,UEFA
Christian Maggio,it Napoli,4,2,233,2.6,0,2017-2018,UEFA
Abdul Majeed Waris,pt Porto,2,1,96,1.1,0,2017-2018,UEFA
Andreas Makris,cy APOEL FC,1,0,28,0.3,0,2017-2018,UEFA
Nikola Maksimovi?,it Napoli,1,1,90,1.0,0,2017-2018,UEFA
Tyrell Malacia,nl Feyenoord,1,1,90,1.0,0,2017-2018,UEFA
Mario Mandžuki?,it Juventus,6,5,457,5.1,4,2017-2018,UEFA
Sadio Mané,eng Liverpool,11,11,940,10.4,10,2017-2018,UEFA
Eliaquim Mangala,eng Manchester City,2,2,180,2.0,0,2017-2018,UEFA
Kostas Manolas,it Roma,11,10,914,10.2,2,2017-2018,UEFA
Iván Marcano,pt Porto,7,7,630,7.0,1,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Marcelo,es Real Madrid,11,11,958,10.6,3,2017-2018,UEFA
Claudio Marchisio,it Juventus,1,0,19,0.2,0,2017-2018,UEFA
Moussa Marega,pt Porto,6,6,440,4.9,0,2017-2018,UEFA
José María Giménez,es Atlético Madrid,4,3,272,3.0,0,2017-2018,UEFA
Marko Marin,gr Olympiacos,3,1,136,1.5,0,2017-2018,UEFA
Marlos,ua Shakhtar,8,8,668,7.4,2,2017-2018,UEFA
Marquinhos,fr Paris S-G,8,8,720,8.0,0,2017-2018,UEFA
Anthony Martial,eng Manchester Utd,8,4,343,3.8,1,2017-2018,UEFA
Javi Martínez,de Bayern Munich,10,8,740,8.2,1,2017-2018,UEFA
Gelson Martins,pt Sporting CP,6,5,462,5.1,1,2017-2018,UEFA
Javier Mascherano,es Barcelona,2,1,134,1.5,0,2017-2018,UEFA
Juan Mata,eng Manchester Utd,6,5,411,4.6,0,2017-2018,UEFA
Jérémy Mathieu,pt Sporting CP,5,5,437,4.9,0,2017-2018,UEFA
Nemanja Mati?,eng Manchester Utd,7,6,564,6.3,0,2017-2018,UEFA
Joël Matip,eng Liverpool,6,5,465,5.2,0,2017-2018,UEFA
Blaise Matuidi,it Juventus,9,5,494,5.5,1,2017-2018,UEFA
Borja Mayoral,es Real Madrid,4,1,141,1.6,1,2017-2018,UEFA
Kylian Mbappé,fr Paris S-G,8,8,658,7.3,4,2017-2018,UEFA
Kara Mbodji,be Anderlecht,5,4,391,4.3,0,2017-2018,UEFA
Callum McGregor,sct Celtic,4,3,295,3.3,1,2017-2018,UEFA
Scott McTominay,eng Manchester Utd,4,2,203,2.3,0,2017-2018,UEFA
Gary Medel,tr Be?ikta?,8,4,431,4.8,0,2017-2018,UEFA
Maksim Medvedev,az Qaraba? FK,6,6,521,5.8,0,2017-2018,UEFA
Soualiho Meïté,fr Monaco,1,1,66,0.7,0,2017-2018,UEFA
Lorenzo Melgarejo,ru Spartak Moscow,6,1,209,2.3,1,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Benjamin Mendy,eng Manchester City,1,1,90,1.0,0,2017-2018,UEFA
Gabriel Mercado,es Sevilla,8,8,693,7.7,0,2017-2018,UEFA
Giorgos Merkis,cy APOEL FC,2,2,180,2.0,0,2017-2018,UEFA
Dries Mertens,it Napoli,6,5,480,5.3,2,2017-2018,UEFA
Jasmin Mešanovi?,si NK Maribor,5,1,98,1.1,1,2017-2018,UEFA
Lionel Messi,es Barcelona,10,8,783,8.7,6,2017-2018,UEFA
Thomas Meunier,fr Paris S-G,1,0,24,0.3,0,2017-2018,UEFA
Míchel,az Qaraba? FK,6,6,533,5.9,1,2017-2018,UEFA
Georgi Milanov,ru CSKA Moscow,3,1,88,1.0,0,2017-2018,UEFA
Martin Milec,si NK Maribor,6,6,540,6.0,0,2017-2018,UEFA
Arkadiusz Milik,it Napoli,1,1,90,1.0,1,2017-2018,UEFA
James Milner,eng Liverpool,11,9,875,9.7,0,2017-2018,UEFA
Matej Mitrovi?,tr Be?ikta?,2,1,105,1.2,0,2017-2018,UEFA
Henrikh Mkhitaryan,eng Manchester Utd,4,3,284,3.2,1,2017-2018,UEFA
Luka Modri?,es Real Madrid,11,11,958,10.6,1,2017-2018,UEFA
Nuno Morais,cy APOEL FC,6,6,510,5.7,0,2017-2018,UEFA
Álvaro Morata,eng Chelsea,7,4,383,4.3,1,2017-2018,UEFA
Alberto Moreno,eng Liverpool,8,7,563,6.3,0,2017-2018,UEFA
Victor Moses,eng Chelsea,4,4,337,3.7,0,2017-2018,UEFA
Thiago Motta,fr Paris S-G,4,4,306,3.4,0,2017-2018,UEFA
Lucas Moura,eng Tottenham,1,0,1,0.0,0,2017-2018,UEFA
João Moutinho,fr Monaco,6,5,467,5.2,0,2017-2018,UEFA
Thomas Müller,de Bayern Munich,10,8,734,8.2,3,2017-2018,UEFA
Luis Muriel,es Sevilla,8,2,252,2.8,0,2017-2018,UEFA
Kévin N'Doram,fr Monaco,1,1,90,1.0,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Georges-Kévin N'Koudou,eng Tottenham,2,1,105,1.2,1,2017-2018,UEFA
Kirill Nababkin,ru CSKA Moscow,2,1,130,1.4,0,2017-2018,UEFA
Ben Nabouhane,gr Olympiacos,2,0,37,0.4,0,2017-2018,UEFA
Nacho,es Real Madrid,8,6,595,6.6,1,2017-2018,UEFA
Radja Nainggolan,it Roma,11,11,959,10.7,2,2017-2018,UEFA
Andy Najar,be Anderlecht,1,1,26,0.3,0,2017-2018,UEFA
Bibras Natkho,ru CSKA Moscow,4,2,237,2.6,0,2017-2018,UEFA
Jesús Navas,es Sevilla,8,4,426,4.7,0,2017-2018,UEFA
Keylor Navas,es Real Madrid,11,11,990,11.0,0,2017-2018,UEFA
Dino Ndlovu,az Qaraba? FK,5,5,425,4.7,0,2017-2018,UEFA
Álvaro Negredo,tr Be?ikta?,5,1,108,1.2,1,2017-2018,UEFA
Miquel Nelom,nl Feyenoord,1,1,90,1.0,0,2017-2018,UEFA
Manuel Neuer,de Bayern Munich,1,1,90,1.0,0,2017-2018,UEFA
Neymar,fr Paris S-G,7,7,630,7.0,6,2017-2018,UEFA
Bart Nieuwkoop,nl Feyenoord,4,3,245,2.7,0,2017-2018,UEFA
Saúl Ñíguez,es Atlético Madrid,6,6,540,6.0,1,2017-2018,UEFA
Dimitris Nikolaou,gr Olympiacos,3,3,270,3.0,1,2017-2018,UEFA
Nolito,es Sevilla,5,4,315,3.5,0,2017-2018,UEFA
Olivier Ntcham,sct Celtic,5,4,383,4.3,0,2017-2018,UEFA
Steven Nzonzi,es Sevilla,8,8,676,7.5,0,2017-2018,UEFA
Dimitri Oberlin,ch Basel,8,6,530,5.9,4,2017-2018,UEFA
Jan Oblak,es Atlético Madrid,6,6,540,6.0,0,2017-2018,UEFA
Ivan Obradovi?,be Anderlecht,3,2,181,2.0,0,2017-2018,UEFA
Vadis Odjidja-Ofoe,gr Olympiacos,6,5,414,4.6,1,2017-2018,UEFA
Mattheus Oliveira,pt Sporting CP,1,0,1,0.0,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Sérgio Oliveira,pt Porto,5,4,352,3.9,0,2017-2018,UEFA
Henry Onyekuru,be Anderlecht,6,4,405,4.5,0,2017-2018,UEFA
Willi Orban,de RB Leipzig,6,6,477,5.3,1,2017-2018,UEFA
Ivan Ordets,ua Shakhtar,8,7,664,7.4,0,2017-2018,UEFA
Nicolás Otamendi,eng Manchester City,8,8,720,8.0,1,2017-2018,UEFA
Otávio,pt Porto,2,1,90,1.0,0,2017-2018,UEFA
Adam Ounas,it Napoli,3,0,36,0.4,0,2017-2018,UEFA
Alex Oxlade-Chamberlain,eng Liverpool,7,4,320,3.6,2,2017-2018,UEFA
O?uzhan Özyakup,tr Be?ikta?,7,5,444,4.9,0,2017-2018,UEFA
Gonçalo Paciência,pt Porto,2,0,26,0.3,0,2017-2018,UEFA
João Palhinha,pt Sporting CP,2,0,40,0.4,0,2017-2018,UEFA
Sokratis Papastathopoulos,de Dortmund,5,5,450,5.0,1,2017-2018,UEFA
Felipe Pardo,gr Olympiacos,6,3,300,3.3,2,2017-2018,UEFA
Nicolás Pareja,es Sevilla,2,2,180,2.0,0,2017-2018,UEFA
Thomas Partey,es Atlético Madrid,6,5,435,4.8,1,2017-2018,UEFA
Mario Pašali?,ru Spartak Moscow,6,4,353,3.9,0,2017-2018,UEFA
Javier Pastore,fr Paris S-G,3,0,68,0.8,0,2017-2018,UEFA
Rui Patrício,pt Sporting CP,6,6,540,6.0,0,2017-2018,UEFA
Alan Patrick,ua Shakhtar,3,0,54,0.6,0,2017-2018,UEFA
Paulinho,es Barcelona,9,4,401,4.5,0,2017-2018,UEFA
Pedro,eng Chelsea,7,4,388,4.3,1,2017-2018,UEFA
Mustafa Pektemek,tr Be?ikta?,2,2,158,1.8,0,2017-2018,UEFA
Lorenzo Pellegrini,it Roma,8,4,296,3.3,0,2017-2018,UEFA
Pepe,tr Be?ikta?,6,6,540,6.0,0,2017-2018,UEFA
Danilo Pereira,pt Porto,6,6,532,5.9,1,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Maxi Pereira,pt Porto,3,2,198,2.2,1,2017-2018,UEFA
Ricardo Pereira,pt Porto,7,6,552,6.1,0,2017-2018,UEFA
Bruno Peres,it Roma,6,5,462,5.1,0,2017-2018,UEFA
Nauzet Pérez,cy APOEL FC,3,3,270,3.0,0,2017-2018,UEFA
Diego Perotti,it Roma,9,8,729,8.1,3,2017-2018,UEFA
Marko Petkovi?,ru Spartak Moscow,2,1,83,0.9,0,2017-2018,UEFA
Raoul Petretta,ch Basel,5,5,414,4.6,0,2017-2018,UEFA
Radosav Petrovi?,pt Sporting CP,1,0,1,0.0,0,2017-2018,UEFA
Ivan Petryak,ua Shakhtar,1,0,1,0.0,0,2017-2018,UEFA
Maximilian Philipp,de Dortmund,3,2,172,1.9,0,2017-2018,UEFA
Cristiano Piccini,pt Sporting CP,5,5,445,4.9,0,2017-2018,UEFA
Aleks Pihler,si NK Maribor,6,4,392,4.4,0,2017-2018,UEFA
Gerard Piqué,es Barcelona,9,9,736,8.2,1,2017-2018,UEFA
?ukasz Piszczek,de Dortmund,2,2,180,2.0,0,2017-2018,UEFA
Guido Pizarro,es Sevilla,9,6,502,5.6,1,2017-2018,UEFA
Pizzi,pt Benfica,6,6,480,5.3,0,2017-2018,UEFA
Miralem Pjani?,it Juventus,8,7,634,7.0,1,2017-2018,UEFA
Paul Pogba,eng Manchester Utd,5,3,278,3.1,0,2017-2018,UEFA
Ivelin Popov,ru Spartak Moscow,5,3,242,2.7,0,2017-2018,UEFA
Mickaël Poté,cy APOEL FC,5,3,312,3.5,2,2017-2018,UEFA
Yussuf Poulsen,de RB Leipzig,4,2,199,2.2,0,2017-2018,UEFA
Quincy Promes,ru Spartak Moscow,5,5,430,4.8,2,2017-2018,UEFA
Silvio Proto,gr Olympiacos,5,5,450,5.0,0,2017-2018,UEFA
Christian Pulisic,de Dortmund,5,4,374,4.2,0,2017-2018,UEFA
Andriy Pyatov,ua Shakhtar,8,8,720,8.0,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Ricardo Quaresma,tr Be?ikta?,7,7,613,6.8,0,2017-2018,UEFA
Dani Quintana,az Qaraba? FK,4,0,39,0.4,0,2017-2018,UEFA
Adrien Rabiot,fr Paris S-G,8,8,677,7.5,1,2017-2018,UEFA
Rafinha,de Bayern Munich,8,5,506,5.6,0,2017-2018,UEFA
Andrea Raggi,fr Monaco,2,2,180,2.0,0,2017-2018,UEFA
Aleksander Raj?evi?,si NK Maribor,4,4,360,4.0,0,2017-2018,UEFA
Ivan Rakiti?,es Barcelona,10,8,758,8.4,1,2017-2018,UEFA
Yaroslav Rakitskiy,ua Shakhtar,7,7,615,6.8,0,2017-2018,UEFA
Anthony Ralston,sct Celtic,1,1,90,1.0,0,2017-2018,UEFA
Aghabala Ramazanov,az Qaraba? FK,1,0,5,0.1,0,2017-2018,UEFA
Sandro Ramírez,es Sevilla,3,0,37,0.4,0,2017-2018,UEFA
Sergio Ramos,es Real Madrid,11,11,990,11.0,1,2017-2018,UEFA
Marcus Rashford,eng Manchester Utd,8,3,344,3.8,3,2017-2018,UEFA
Artyom Rebrov,ru Spartak Moscow,2,2,158,1.8,0,2017-2018,UEFA
Pepe Reina,it Napoli,6,6,540,6.0,0,2017-2018,UEFA
Diego Reyes,pt Porto,6,2,233,2.6,0,2017-2018,UEFA
Franck Ribéry,de Bayern Munich,8,7,574,6.4,0,2017-2018,UEFA
Sergio Rico,es Sevilla,8,8,720,8.0,0,2017-2018,UEFA
Stefan Ristovski,pt Sporting CP,4,2,144,1.6,0,2017-2018,UEFA
Blas Riveros,ch Basel,5,3,287,3.2,1,2017-2018,UEFA
Arjen Robben,de Bayern Munich,9,6,494,5.5,0,2017-2018,UEFA
Sergi Roberto,es Barcelona,8,7,594,6.6,0,2017-2018,UEFA
Patrick Roberts,sct Celtic,3,3,234,2.6,1,2017-2018,UEFA
Andrew Robertson,eng Liverpool,6,6,540,6.0,0,2017-2018,UEFA
Pedro Rocha Neves,ru Spartak Moscow,1,0,1,0.0,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
James Rodríguez,de Bayern Munich,12,8,779,8.7,1,2017-2018,UEFA
Marko Rog,it Napoli,4,0,75,0.8,0,2017-2018,UEFA
Tom Rogi?,sct Celtic,6,2,294,3.3,0,2017-2018,UEFA
Marcos Rojo,eng Manchester Utd,1,1,90,1.0,0,2017-2018,UEFA
Alaixys Romao,gr Olympiacos,6,6,540,6.0,0,2017-2018,UEFA
Sergio Romero,eng Manchester Utd,2,2,180,2.0,0,2017-2018,UEFA
Cristiano Ronaldo,es Real Madrid,13,13,"1,170",13.0,15,2017-2018,UEFA
Danny Rose,eng Tottenham,3,2,170,1.9,0,2017-2018,UEFA
Antonio Rüdiger,eng Chelsea,6,4,388,4.3,0,2017-2018,UEFA
Sebastian Rudy,de Bayern Munich,5,3,345,3.8,0,2017-2018,UEFA
Jesús Rueda,cy APOEL FC,6,6,540,6.0,0,2017-2018,UEFA
Daniele Rugani,it Juventus,2,1,110,1.2,0,2017-2018,UEFA
Mário Rui,it Napoli,2,0,30,0.3,0,2017-2018,UEFA
Alan Ruiz,pt Sporting CP,1,1,46,0.5,0,2017-2018,UEFA
Jakub Rze?niczak,az Qaraba? FK,5,4,379,4.2,0,2017-2018,UEFA
José Sá,pt Porto,5,5,450,5.0,0,2017-2018,UEFA
Josué Sá,be Anderlecht,3,0,93,1.0,0,2017-2018,UEFA
Marcel Sabitzer,de RB Leipzig,5,5,395,4.4,0,2017-2018,UEFA
Rashad Sadygov,az Qaraba? FK,5,5,359,4.0,0,2017-2018,UEFA
Nuri ?ahin,de Dortmund,3,3,215,2.4,0,2017-2018,UEFA
Mohamed Salah,eng Liverpool,13,12,930,10.3,10,2017-2018,UEFA
Roland Sallai,cy APOEL FC,6,3,288,3.2,0,2017-2018,UEFA
Eduardo Salvio,pt Benfica,5,4,397,4.4,0,2017-2018,UEFA
Andreas Samaris,pt Benfica,3,2,179,2.0,0,2017-2018,UEFA
Aleksandr Samedov,ru Spartak Moscow,4,2,191,2.1,1,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Aaron Samuel Olanare,ru CSKA Moscow,1,1,67,0.7,0,2017-2018,UEFA
Alexis Sánchez,eng Manchester Utd,2,2,165,1.8,0,2017-2018,UEFA
Davinson Sánchez,eng Tottenham,8,8,720,8.0,0,2017-2018,UEFA
Alex Sandro,it Juventus,10,10,900,10.0,0,2017-2018,UEFA
Leroy Sané,eng Manchester City,9,7,653,7.3,0,2017-2018,UEFA
Pablo Sarabia,es Sevilla,10,8,740,8.2,1,2017-2018,UEFA
Stefan Savi?,es Atlético Madrid,3,3,268,3.0,0,2017-2018,UEFA
Patrik Schick,it Roma,3,2,207,2.3,0,2017-2018,UEFA
Marcel Schmelzer,de Dortmund,4,3,271,3.0,0,2017-2018,UEFA
André Schürrle,de Dortmund,1,0,3,0.0,0,2017-2018,UEFA
Sebá,gr Olympiacos,3,2,180,2.0,0,2017-2018,UEFA
Haris Seferovi?,pt Benfica,4,2,219,2.4,1,2017-2018,UEFA
Ibrahim Šehi?,az Qaraba? FK,6,6,540,6.0,0,2017-2018,UEFA
Aleksandr Selikhov,ru Spartak Moscow,5,4,382,4.2,0,2017-2018,UEFA
Matz Sels,be Anderlecht,3,3,270,3.0,0,2017-2018,UEFA
Nélson Semedo,es Barcelona,7,7,625,6.9,0,2017-2018,UEFA
Stephan El Shaarawy,it Roma,10,4,359,4.0,2,2017-2018,UEFA
Luke Shaw,eng Manchester Utd,1,1,90,1.0,0,2017-2018,UEFA
Georgi Shchennikov,ru CSKA Moscow,5,5,410,4.6,1,2017-2018,UEFA
Ramil Sheydayev,az Qaraba? FK,2,1,77,0.9,0,2017-2018,UEFA
Djibril Sidibé,fr Monaco,3,3,253,2.8,0,2017-2018,UEFA
Bernardo Silva,eng Manchester City,9,6,563,6.3,1,2017-2018,UEFA
David Silva,eng Manchester City,7,5,426,4.7,0,2017-2018,UEFA
Jonathan Silva,pt Sporting CP,4,2,209,2.3,0,2017-2018,UEFA
Rafa Silva,pt Benfica,1,0,1,0.0,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Thiago Silva,fr Paris S-G,6,6,522,5.8,0,2017-2018,UEFA
Jozo Šimunovi?,sct Celtic,4,4,360,4.0,0,2017-2018,UEFA
Scott Sinclair,sct Celtic,5,5,380,4.2,1,2017-2018,UEFA
Moussa Sissoko,eng Tottenham,6,3,341,3.8,0,2017-2018,UEFA
Chris Smalling,eng Manchester Utd,8,8,720,8.0,0,2017-2018,UEFA
Tiquinho Soares,pt Porto,3,2,180,2.0,1,2017-2018,UEFA
Dominic Solanke,eng Liverpool,3,0,36,0.4,0,2017-2018,UEFA
David Soria,es Sevilla,2,2,180,2.0,0,2017-2018,UEFA
Uroš Spaji?,be Anderlecht,5,5,359,4.0,0,2017-2018,UEFA
Darijo Srna,ua Shakhtar,1,1,90,1.0,0,2017-2018,UEFA
Jerry St. Juste,nl Feyenoord,5,4,374,4.2,1,2017-2018,UEFA
Nicolae Stanciu,be Anderlecht,3,1,103,1.1,0,2017-2018,UEFA
Renato Steffen,ch Basel,6,6,537,6.0,0,2017-2018,UEFA
Taras Stepanenko,ua Shakhtar,8,8,684,7.6,0,2017-2018,UEFA
Kazaiah Sterling,eng Tottenham,1,0,2,0.0,0,2017-2018,UEFA
Raheem Sterling,eng Manchester City,8,5,495,5.5,4,2017-2018,UEFA
Valentin Stocker,ch Basel,2,1,93,1.0,0,2017-2018,UEFA
John Stones,eng Manchester City,5,5,450,5.0,3,2017-2018,UEFA
Kevin Strootman,it Roma,11,9,839,9.3,0,2017-2018,UEFA
Stefano Sturaro,it Juventus,5,2,235,2.6,0,2017-2018,UEFA
Daniel Sturridge,eng Liverpool,5,0,83,0.9,1,2017-2018,UEFA
Denis Suárez,es Barcelona,3,2,170,1.9,0,2017-2018,UEFA
Luis Suárez,es Barcelona,10,10,884,9.8,1,2017-2018,UEFA
Danijel Subaši?,fr Monaco,3,3,270,3.0,0,2017-2018,UEFA
Neven Suboti?,de Dortmund,1,1,90,1.0,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Marek Suchý,ch Basel,8,8,720,8.0,0,2017-2018,UEFA
Niklas Süle,de Bayern Munich,9,6,643,7.1,0,2017-2018,UEFA
Marko Šuler,si NK Maribor,5,5,450,5.0,0,2017-2018,UEFA
Mile Svilar,pt Benfica,3,3,270,3.0,0,2017-2018,UEFA
Wojciech Szcz?sny,it Juventus,2,1,90,1.0,0,2017-2018,UEFA
Panagiotis Tachtsidis,gr Olympiacos,3,3,245,2.7,0,2017-2018,UEFA
Taison,ua Shakhtar,8,8,720,8.0,1,2017-2018,UEFA
Talisca,tr Be?ikta?,8,6,539,6.0,4,2017-2018,UEFA
Renato Tapia,nl Feyenoord,4,4,330,3.7,0,2017-2018,UEFA
Serdar Tasci,ru Spartak Moscow,5,5,450,5.0,0,2017-2018,UEFA
Marcos Tavares,si NK Maribor,6,5,479,5.3,1,2017-2018,UEFA
Alex Telles,pt Porto,7,7,630,7.0,1,2017-2018,UEFA
?ukasz Teodorczyk,be Anderlecht,6,4,388,4.3,0,2017-2018,UEFA
Marc-André ter Stegen,es Barcelona,9,9,810,9.0,0,2017-2018,UEFA
Youri Tielemans,fr Monaco,4,4,311,3.5,1,2017-2018,UEFA
Kieran Tierney,sct Celtic,6,6,540,6.0,0,2017-2018,UEFA
Corentin Tolisso,de Bayern Munich,8,6,495,5.5,3,2017-2018,UEFA
Jeremy Toljan,de Dortmund,4,3,271,3.0,0,2017-2018,UEFA
Jens Toornstra,nl Feyenoord,5,3,322,3.6,0,2017-2018,UEFA
Ömer Toprak,de Dortmund,6,4,338,3.8,0,2017-2018,UEFA
Fernando Torres,es Atlético Madrid,5,2,207,2.3,0,2017-2018,UEFA
Óliver Torres,pt Porto,3,2,168,1.9,0,2017-2018,UEFA
Duško Toši?,tr Be?ikta?,7,6,508,5.6,0,2017-2018,UEFA
Cenk Tosun,tr Be?ikta?,6,5,449,5.0,4,2017-2018,UEFA
Almamy Touré,fr Monaco,3,3,270,3.0,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Yaya Touré,eng Manchester City,3,3,255,2.8,0,2017-2018,UEFA
Adrien Trebel,be Anderlecht,6,6,540,6.0,0,2017-2018,UEFA
Kieran Trippier,eng Tottenham,3,3,270,3.0,0,2017-2018,UEFA
Axel Tuanzebe,eng Manchester Utd,1,0,18,0.2,0,2017-2018,UEFA
Sven Ulreich,de Bayern Munich,11,11,990,11.0,0,2017-2018,UEFA
Samuel Umtiti,es Barcelona,9,9,810,9.0,0,2017-2018,UEFA
Cengiz Ünder,it Roma,5,3,237,2.6,1,2017-2018,UEFA
Dayot Upamecano,de RB Leipzig,5,5,450,5.0,0,2017-2018,UEFA
Necip Uysal,tr Be?ikta?,4,2,174,1.9,0,2017-2018,UEFA
Tomáš Vaclík,ch Basel,8,8,720,8.0,0,2017-2018,UEFA
Antonio Valencia,eng Manchester Utd,4,4,329,3.7,0,2017-2018,UEFA
Jesús Vallejo,es Real Madrid,1,1,90,1.0,0,2017-2018,UEFA
Virgil van Dijk,eng Liverpool,6,6,540,6.0,0,2017-2018,UEFA
Raphaël Varane,es Real Madrid,11,11,938,10.4,0,2017-2018,UEFA
Bruno Varela,pt Benfica,2,2,180,2.0,0,2017-2018,UEFA
Viktor Vasin,ru CSKA Moscow,6,6,540,6.0,0,2017-2018,UEFA
Franco Vázquez,es Sevilla,7,5,494,5.5,0,2017-2018,UEFA
Lucas Vázquez,es Real Madrid,10,5,543,6.0,1,2017-2018,UEFA
Dylan Vente,nl Feyenoord,1,0,18,0.2,0,2017-2018,UEFA
Thomas Vermaelen,es Barcelona,1,1,90,1.0,0,2017-2018,UEFA
Kenneth Vermeer,nl Feyenoord,1,1,90,1.0,0,2017-2018,UEFA
Marco Verratti,fr Paris S-G,8,8,640,7.1,2,2017-2018,UEFA
Jan Vertonghen,eng Tottenham,6,6,540,6.0,0,2017-2018,UEFA
Domagoj Vida,tr Be?ikta?,1,1,16,0.2,0,2017-2018,UEFA
Aleix Vidal,es Barcelona,4,1,112,1.2,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Arturo Vidal,de Bayern Munich,8,6,475,5.3,0,2017-2018,UEFA
Luciano Vietto,es Atlético Madrid,2,1,69,0.8,0,2017-2018,UEFA
Mitja Viler,si NK Maribor,6,6,540,6.0,0,2017-2018,UEFA
Tonny Vilhena,nl Feyenoord,6,6,533,5.9,0,2017-2018,UEFA
Vinicius,cy APOEL FC,6,6,465,5.2,0,2017-2018,UEFA
Vitinho,ru CSKA Moscow,6,6,469,5.2,2,2017-2018,UEFA
Michel Vorm,eng Tottenham,1,1,90,1.0,0,2017-2018,UEFA
Praxitelis Vouros,cy APOEL FC,6,6,540,6.0,0,2017-2018,UEFA
Blaž Vrhovec,si NK Maribor,5,5,395,4.4,0,2017-2018,UEFA
Šime Vrsaljko,es Atlético Madrid,1,1,90,1.0,0,2017-2018,UEFA
Dare Vrši?,si NK Maribor,2,0,55,0.6,0,2017-2018,UEFA
Sandro Wagner,de Bayern Munich,3,0,51,0.6,1,2017-2018,UEFA
Kyle Walker,eng Manchester City,7,7,630,7.0,0,2017-2018,UEFA
Kyle Walker-Peters,eng Tottenham,1,0,20,0.2,0,2017-2018,UEFA
Victor Wanyama,eng Tottenham,1,0,1,0.0,0,2017-2018,UEFA
Boy Waterman,cy APOEL FC,3,3,225,2.5,0,2017-2018,UEFA
Julian Weigl,de Dortmund,5,3,325,3.6,0,2017-2018,UEFA
Pontus Wernbloom,ru CSKA Moscow,5,5,450,5.0,1,2017-2018,UEFA
Timo Werner,de RB Leipzig,6,4,329,3.7,3,2017-2018,UEFA
Georginio Wijnaldum,eng Liverpool,12,9,850,9.4,1,2017-2018,UEFA
Willian,eng Chelsea,8,4,429,4.8,3,2017-2018,UEFA
Harry Winks,eng Tottenham,5,5,426,4.7,0,2017-2018,UEFA
Ricky van Wolfswinkel,ch Basel,3,2,172,1.9,1,2017-2018,UEFA
Taulant Xhaka,ch Basel,6,6,523,5.8,1,2017-2018,UEFA
Andriy Yarmolenko,de Dortmund,6,4,377,4.2,1,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Andrey Yeshchenko,ru Spartak Moscow,5,5,440,4.9,0,2017-2018,UEFA
Ashley Young,eng Manchester Utd,4,4,337,3.7,0,2017-2018,UEFA
