Player,Squad,MP,Starts,Min,90s,Goals,Seasons,League
Son Heung-min,eng Tottenham,7,5,426,4.7,4,2017-2018,UEFA
Gonzalo Higuaín,it Juventus,10,9,830,9.2,5,2017-2018,UEFA
Dino Hoti?,si NK Maribor,5,1,151,1.7,0,2017-2018,UEFA
Mats Hummels,de Bayern Munich,9,8,679,7.5,1,2017-2018,UEFA
Badavi Huseynov,az Qaraba? FK,3,3,270,3.0,0,2017-2018,UEFA
Atiba Hutchinson,tr Be?ikta?,7,6,563,6.3,0,2017-2018,UEFA
Elseid Hysaj,it Napoli,6,6,520,5.8,0,2017-2018,UEFA
,,,,,,,2017-2018,UEFA
Zlatan Ibrahimovi?,eng Manchester Utd,1,0,16,0.2,0,2017-2018,UEFA
Sergei Ignashevich,ru CSKA Moscow,4,4,316,3.5,0,2017-2018,UEFA
Stefan Ilsanker,de RB Leipzig,3,3,262,2.9,0,2017-2018,UEFA
Danny Ings,eng Liverpool,4,0,54,0.6,0,2017-2018,UEFA
Andrés Iniesta,es Barcelona,8,8,624,6.9,0,2017-2018,UEFA
Lorenzo Insigne,it Napoli,5,5,391,4.3,3,2017-2018,UEFA
Alexander Isak,de Dortmund,1,0,8,0.1,0,2017-2018,UEFA
Isco,es Real Madrid,11,10,736,8.2,0,2017-2018,UEFA
Ismaily,ua Shakhtar,8,8,694,7.7,1,2017-2018,UEFA
Afran Ismayilov,az Qaraba? FK,2,1,76,0.8,0,2017-2018,UEFA
Cedric Itten,ch Basel,1,0,6,0.1,0,2017-2018,UEFA
Jardel,pt Benfica,4,4,360,4.0,0,2017-2018,UEFA
Jemerson,fr Monaco,6,6,540,6.0,0,2017-2018,UEFA
Gabriel Jesus,eng Manchester City,9,7,618,6.9,4,2017-2018,UEFA
Juan Jesus,it Roma,6,6,517,5.7,0,2017-2018,UEFA
Raúl Jiménez,pt Benfica,5,3,308,3.4,0,2017-2018,UEFA
Jonas,pt Benfica,6,3,287,3.2,0,2017-2018,UEFA
Brad Jones,nl Feyenoord,5,5,450,5.0,0,2017-2018,UEFA
Jorge,fr Monaco,4,4,360,4.0,0,2017-2018,UEFA
Jorginho,it Napoli,2,2,162,1.8,1,2017-2018,UEFA
Stevan Joveti?,fr Monaco,1,0,64,0.7,0,2017-2018,UEFA
Juanfran,es Atlético Madrid,3,3,270,3.0,0,2017-2018,UEFA
