Player,Squad,MP,Starts,Min,90s,Goals,Goals,Seasons,League
Martín Cáceres,Hellas Verona,14,14,"1,165",12.9,3,0.23,2017-2018,Serie A
Martín Cáceres,Lazio,6,4,441,4.9,1,0.20,2017-2018,Serie A
Felipe Caicedo,Lazio,22,4,717,8.0,3,0.38,2017-2018,Serie A
Davide Calabria,Milan,21,18,"1,564",17.4,1,0.06,2017-2018,Serie A
Mattia Caldara,Atalanta,24,24,"2,160",24.0,3,0.12,2017-2018,Serie A
Hakan Çalhanoğlu,Milan,31,25,"2,172",24.1,6,0.25,2017-2018,Serie A
Fabrizio Caligara,Cagliari,1,0,18,0.2,0,0.00,2017-2018,Serie A
José Callejón,Napoli,38,38,"3,238",36.0,10,0.28,2017-2018,Serie A
Simone Calvano,Hellas Verona,15,7,644,7.2,0,0.00,2017-2018,Serie A
João Cancelo,Inter,26,20,"1,851",20.6,1,0.05,2017-2018,Serie A
,,,,,,,,2017-2018,Serie A
Antonio Candreva,Inter,36,33,"2,537",28.2,0,0.00,2017-2018,Serie A
Paolo Cannavaro,Sassuolo,19,16,"1,443",16.0,0,0.00,2017-2018,Serie A
Leonardo Capezzi,Sampdoria,6,2,214,2.4,0,0.00,2017-2018,Serie A
Elio Capradossi,Roma,2,1,83,0.9,0,0.00,2017-2018,Serie A
Gianluca Caprari,Sampdoria,34,19,"1,809",20.1,5,0.25,2017-2018,Serie A
Marco Capuano,Crotone,16,16,"1,407",15.6,0,0.00,2017-2018,Serie A
Marco Capuano,Cagliari,9,7,690,7.7,0,0.00,2017-2018,Serie A
Antonio Caracciolo,Hellas Verona,33,32,"2,857",31.7,2,0.06,2017-2018,Serie A
Francesco Cassata,Sassuolo,10,5,458,5.1,1,0.20,2017-2018,Serie A
Timothy Castagne,Atalanta,20,17,"1,500",16.7,0,0.00,2017-2018,Serie A
Leandro Castán,Cagliari,14,13,"1,141",12.7,0,0.00,2017-2018,Serie A
Lucas Castro,Chievo,25,23,"1,985",22.1,3,0.14,2017-2018,Serie A
Danilo Cataldi,Benevento,29,25,"2,282",25.4,1,0.04,2017-2018,Serie A
Federico Ceccherini,Crotone,37,37,"3,229",35.9,1,0.03,2017-2018,Serie A
Ricardo Centurión,Genoa,3,1,54,0.6,0,0.00,2017-2018,Serie A
Luca Ceppitelli,Cagliari,27,26,"2,227",24.7,3,0.12,2017-2018,Serie A
Fabio Ceravolo,Benevento,1,1,57,0.6,0,0.00,2017-2018,Serie A
Alessio Cerci,Hellas Verona,24,22,"1,635",18.2,3,0.17,2017-2018,Serie A
Boštjan Cesar,Chievo,10,5,550,6.1,0,0.00,2017-2018,Serie A
Damir Ceter,Cagliari,6,1,199,2.2,0,0.00,2017-2018,Serie A
Raman Chibsah,Benevento,14,12,"1,048",11.6,0,0.00,2017-2018,Serie A
Giorgio Chiellini,Juventus,26,25,"2,161",24.0,0,0.00,2017-2018,Serie A
Federico Chiesa,Fiorentina,36,35,"3,012",33.5,6,0.18,2017-2018,Serie A
Vlad Chiricheș,Napoli,7,7,582,6.5,0,0.00,2017-2018,Serie A
Amato Ciciretti,Benevento,12,9,807,9.0,2,0.22,2017-2018,Serie A
,,,,,,,,2017-2018,Serie A
Luca Cigarini,Cagliari,26,24,"2,024",22.5,2,0.09,2017-2018,Serie A
Thiago Cionek,SPAL,15,15,"1,350",15.0,1,0.07,2017-2018,Serie A
Karamoko Cissé,Benevento,2,0,14,0.2,0,0.00,2017-2018,Serie A
Massimo Coda,Benevento,24,14,"1,417",15.7,4,0.25,2017-2018,Serie A
Isaac Cofie,Genoa,12,6,591,6.6,0,0.00,2017-2018,Serie A
Andrea Consigli,Sassuolo,37,37,"3,316",36.8,0,0.00,2017-2018,Serie A
Andrea Conti,Milan,2,2,157,1.7,0,0.00,2017-2018,Serie A
Duje Čop,Cagliari,2,1,96,1.1,0,0.00,2017-2018,Serie A
Alex Cordaz,Crotone,38,38,"3,420",38.0,0,0.00,2017-2018,Serie A
Andreas Cornelius,Atalanta,23,8,934,10.4,3,0.29,2017-2018,Serie A
Andrea Cossu,Cagliari,11,2,243,2.7,0,0.00,2017-2018,Serie A
Andrea Costa,Benevento,16,16,"1,375",15.3,0,0.00,2017-2018,Serie A
Douglas Costa,Juventus,31,18,"1,795",19.9,4,0.20,2017-2018,Serie A
Filippo Costa,SPAL,23,14,"1,473",16.4,0,0.00,2017-2018,Serie A
Angelo da Costa Júnior,Bologna,4,4,360,4.0,0,0.00,2017-2018,Serie A
Alessio Cragno,Cagliari,29,29,"2,536",28.2,0,0.00,2017-2018,Serie A
Michele Cremonesi,SPAL,5,4,385,4.3,0,0.00,2017-2018,Serie A
Lorenzo Crisetig,Bologna,8,6,558,6.2,0,0.00,2017-2018,Serie A
Bryan Cristante,Atalanta,36,33,"2,824",31.4,9,0.29,2017-2018,Serie A
Sebastián Cristóforo,Fiorentina,7,3,268,3.0,0,0.00,2017-2018,Serie A
Giovanni Crociata,Crotone,11,2,290,3.2,1,0.31,2017-2018,Serie A
